,title,content
0,"bob World Tab
","‘bob World Tab’ is primarily a relationship based assisted mobility platform that facilitates a seamless journey for the branch users which helps expanding the CASA base of the branch and the Bank. Various Digital Products are also offered through this Platform by doing away with paperwork and ensuring complete Digitization while opening SB & Current Account of customers, thereby entailing superior Customer Services.

At present, below 17 schemes of SB accounts are being opened through TAB Banking:
Srl. No.	Name of Scheme	Scheme
1	Baroda Advantage SB Gen	SB 101
2	Baroda Advantage Pension Account	SB 114
3	Baroda Super saving	SB 117
4	Baroda Centenary Saving	SB 125
5	Baroda Bachat Mitra	SB 128
6	Baroda Jeevan Suraksha	SB 134
7	Baroda Champ	SB 156
8	Baroda Platinum	SB 171
9	Baroda Salary   Classic	SB 174
10	Baroda Salary Super	SB 175
11	Baroda Salary Premium	SB 176
12	Baroda Salary Privilege	SB 177
13	Baroda Sr. Citizen Privilege	SB 180
14	Baroda Mahila Shakti	SB 181
15	Baroda Jeevan Nidhi Scheme	SB 184
16	Baroda Defense Salary Package	SB 186
17	Baroda Home Loan linked SB Account	SB-152
Bank of Baroda has been consistently working towards innovative digital offerings and “Current Account Opening” is a part of digital transformation journey. Bank of Baroda has embarked upon digitizing its current account customer on-boarding process through tablets for instant account opening through bob World Tab. The aim is to provide superior banking experience and ease of on-boarding customers over traditional channels. This facility is available for customers to open accounts under sole proprietors, Individual, Non-individual and Partnership.

Presently below 5 Schemes are available for opening Current Account through Tab Banking:
Srl. No.	Name of Scheme	Scheme
1	Baroda Advantage Current Account	CA101
2	Baroda Premium Privilege Current Account	CA107
3	Baroda Premium Current Account	CA108
4	Baroda District Co-operatives Milk Account	CA123
5	Baroda Small Business Account	CA124
Additionally SB Non-individual accounts as SHG (Self Help Group) Accounts can be opened through Tab Banking:
Our Bank has rolled out Self Help Group (SHG) Savings Account opening digitally through TAB Banking-‘bob World Tab’. Our Bank is Pioneer public sector bank to digitize its SHG Account customer on-boarding process through tablets. “SHG Account Opening” is a part of Digital Transformation journey and will facilitate faster subsequent credit linkage to SHGs which is a thrust area for Govt. of India [Under Deendayal Antyodaya Yojana – National Rural Livelihood Mission (DAY-NRLM)].

Following Services currently offered through Tab Banking:

Internet banking
Mobile banking
Personalized debit card
Personalized cheque book
SMS alert
UPI/VPA/QR issuance
Issuance of FasTag.
Issuance of Credit Card.
During recent years, Tab Banking has emerged as the most preferred channel for branches and customers for its being convenient to use and being free of hassles.

Many products are likely to see the light of the day in the near future which can be summed up as follows—

Opening of Current Account for Companies.
Whats App Banking Registration.
Offering Life Insurance through India first.
Opening of Govt. Business products like SSA (Sukanya Samrudhi Account) & APY( Atal Pension Yojana)
The Platform of TAB Banking enables customer to enjoy freedom of opening account as per their comfort and instant activation of their accounts.

Customers can approach nearest branch, and open SB/ Current Account through bob World Tab enjoying a seamless banking experience, thereby."
1,"bob World Wave - A Wearable Contactless Payment Smart Watch Benefits
","Bank of Baroda has partnered with GOQii, one of the renowned smart health watch brands in India and a proud Make in India product, for its bob World Wave smart health watch.

Bank of Baroda’s on the go wearable payment solution, bob World Wave is designed to ensure expedient and seamless digital payments with just a tap of the device to meet the demands of our evolving customers
bob World Wave smart watch lets you monitor your SpO2, Body Temperature, Heart Rate, Blood Pressure, Menstrual/Pregnancy, Sleep and multiple activities and also helps you in making contactless payments
bob World Wave smart watch can be linked with the GOQii Mobile App which offers 3 months personal coaching subscription with certified health coaches and doctors
Virtual engagement program which rewards on completion of weekly steps targets and other health goals in the GOQii mobile app"
2,"Detail bob World Wave - A Wearable Contactless Payment Smart Watch
","Bank of Baroda’s on the go wearable payment solution, bob World Wave is designed to ensure expedient and seamless digital payments with just a tap on the device to meet the demands of our evolving customers. Customers can make payments on-the-go of up to INR 5,000/- without any PIN while shopping on any PoS machines enabled for contactless payments making it extremely convenient for the customers...."
3,"bob World Wave - A Wearable Contactless Payment Smart Watch : Features
","Contactless payments up to INR 5,000/- is eligible per transaction (with a maximum of 5 transactions per day) - without PIN (Tap and Pay)
Any contactless payment enabled transaction above INR 5000/- will require PIN authentication with a transaction limit of INR 1,00,000 at any POS terminal
Transact on e-commerce platforms for up to INR 1,00,000/- per day by referring to the Non-Payment Dummy card provided along with the device through CVV and OTP authentication
bob World Wave smart health watch - Smart Vital Plus is a CDSCO registered medical device & its services on the GOQii app (personal coaching, health locker, health store and more) are certified under 3 grades by the International Organization for Standardization (ISO)
Monitor health vitals like SpO2, Body Temperature, Heart Rate, Blood Pressure and Sleep. Track all day activities like steps, distance, calories burned & active time
This smart watch also has a special in-built feature for women to track their Menstrual cycle and Pregnancy
bob World Wave smart health watch: A 1.57"" full touch colour display with additional features like Smart Notifications, Music Control, Multiple Wallpapers, Alarms and more
This Smart Watch is also a graded IP68 Dust & Water Resistant device with a battery life of up to 7 days, under normal usage
The box includes a 2-pin magnetic charger. To charge the device, remove the strap and place the core correctly on the charger"
4,"bob World Wave - A Wearable Contactless Payment Smart Watch : Eligibility Criteria
","Eligible Mode of Operation :

Saving Bank Account: Either or Survivor, Self, Anyone or Survivor

Current Account: Self and Sole Proprietorship

Overdraft Account: Self

Eligible Account Schemes :

Baroda Bachat Mitra

Baroda Jeevan Suraksha SA

GOVT Scholarship /DBT Account

Baroda Advantage SB _GEN

Baroda Advantage SB _SAL

Baroda Advantage SB _PEN

Baroda Advantage SB _O_BAL

Baroda Centenary Savings Account

Baroda Pensioners Savings Account

Baroda First SB Dep account

Baroda Home Loan Linked SB account

SB Haryana State SS Pension

Baroda Shubh Savings

Baroda Salary Classic

Savings Bank Staff

Baroda Government Employee Salary Account

Baroda Super Savings

Baroda Platinum Savings Account

Baroda Salary Super

Baroda Salary Premium

Baroda Salary Privilege

Baroda Senior Citizen Privilege Savings Account

Baroda Mahila Shakti Savings Account

Baroda Salary Account for Defence & Police Personal

Baroda Expat Saving account

Baroda Advantage Current account

Baroda Premium Privilege

Baroda Premium Current account

Baroda Startup Current account

Baroda Scale up Current account

Staff Overdraft"
5,"bob World Wave - A Wearable Contactless Payment Smart Watch : Fees & Charges
","The MRP of Smart Vital Plus Health Watch is INR 6,499*/- (Inclusive of taxes) . However, as a special Launch offer the same is priced at a discounted price of INR 3,499*/- (Inclusive of taxes)
*The price of watch is further subjected to change as per the prevailing market conditions."
6,bob World Wave - A Wearable Contactless Payment Smart Watch : Most Important Terms and Conditions (MITC),"TERMS AND CONDITIONS GOVERNING THE SMART VITAL PLUS PROGRAM
Please make sure you have read SMART VITAL PLUS terms and conditions carefully before using SMART VITAL PLUS. By using or applying for SMART VITAL PLUS you are unconditionally accepting the terms and conditions listed here under and will be bound by them. You will also remain bound by the applicable terms and conditions regarding the operations of your savings or current bank account with BANK OF BARODA.

The ‘SMART VITAL PLUS’ is a program in which BANK OF BARODA is partnering with GOQii Technologies Private Limited. It consists of 3 important legs: Payments, Fitness and Health Vitals. This program would provide BANK OF BARODA customers a GOQii Fitness Band which would be enabled with Contactless Payment, powered by BANK OF BARODA. The major components of the product are as follows:

Smart Vital Plus Tracker (To measure SpO2, Body Temperature, Heart Rate, Blood Pressure, Steps, Time and more)
Strap (To hold the watch and NFC Chip)
Contactless Chip / Secure Element / NFC (to make contactless payment)
All the terms & conditions and warranty pertaining to the Fitness Band would be covered by the GOQii Technologies Private Limited (The customer can access GOQii Terms and Conditions at https://goqii.com/in-en/terms) and terms and conditions pertaining to the Contactless chip would be covered by BANK OF BARODA as present and updated over bank website. The GOQii Fitness Band would be integrated with the NFC Chip which would enable the customer to make contactless payment at the merchant location. The Fitness band which includes a pedometer and its accessories would be entirely a product of GOQii and the NFC Chip inserted in the Fitness band is a product of BANK OF BARODA.

DEFINITIONS
“The Bank’’, “BANK OF BARODA’’, means BANK OF BARODA, a body corporate, carrying on the business of banking and related services under the Banking Regulation Act, 1949 and its successors and assignees.
""SMART VITAL PLUS”, Contactless Chip, NFC Chip, SMART VITAL PLUS Program, refers to the BANK OF BARODA Mastercard/Visa/RuPay Wearable contactless Chip issued by BANK OF BARODA to its customers.
Contactless Payment: It’s a faster way to pay with your account for purchases under INR 5000/ at participating stores. Instead of dipping (or swiping) your card at the billing counter, simply wave or tap your Band on the contactless terminal and pay without entering a PIN (for amount under INR 5000/-).
“SMART VITAL PLUS Holder’’, “Contactless Chip Holder’’, ""NFC Holder‘’, “you’’, “your’’, “him’’ or similar pronouns shall where the context so admit, refer to a customer of BANK OF BARODA to whom a BANK OF BARODA contactless chip has been issued by BANK OF BARODA to operate on a nominated account). All references to the SMART VITAL PLUS Holder in the masculine gender will also include the feminine gender.
""Account(s)"", refers to the SMART VITAL PLUS holder's Savings Accounts that have been designated by ‘BANK OF BARODA to the eligible accounts) for the valid operations. The SMART VITAL PLUS holder should be either the account holder or sole signatory or authorized to act alone when there is more than one account holder / signatory.
“Transaction”, means instruction given, by SMART VITAL PLUS Holder by using his SMART VITAL contactless chip directly or indirectly, to BANK OF BARODA to effect action on the account. (Examples of transactions can be retail purchases).
""Statement’’, means a periodic statement of account sent by BANK OF BARODA to SMART VITAL PLUS Holder to their registered email ID setting out the transactions carried out by the SMART VITAL PLUS Holder during the given period and the balance on that account. It may also include any other information that BANK OF BARODA may deem fit to include.
""Merchant"" or “Merchant Establishments’’, shall mean establishments wherever located which accept/honour the payment using contactless chip and shall include amongst others: stores, shops, restaurants, airline organizations etc. advertised by BANK OF BARODA or Mastercard/Visa/RuPay.
“EDC’ or “Electronic Data Capture’, refers to electronic Point of Sale swipe terminals in India, whether of BANK OF BARODA or any other bank on the shared network, that permit the debiting of the account(s) for purchase transactions from merchant establishments.
“Mastercard/Visa/RuPay’, means a trademark owned by a normally associated with Mastercard/Visa/RuPay International. SMART VITAL PLUS (""Contactless Payment chip embedded in a Wearable Band / Contactless chip / NFC Chip / NFC Device’) is issued by BANK OF BARODA, (“BANK OF BARODA) having its registered office at Baroda Bhavan, 7th Floor, R.C. Dutt Road, Vadodara-390 007, (Gujarat) India on the following terms and conditions:
SMART VITAL PLUS VALIDITY AND HOLDER OBLIGATIONS
The issue and use of the Contactless Chip shall be subject to the laws, rules and regulations in force from time to time as issued by the Reserve Bank of India, Foreign Exchange Management Act 1999, etc.
The Contactless Chip shall be valid only for transaction options, as permitted by the Bank from time to time in India at BANK OF BARODA Point of Sale swipe terminals at merchant establishments.
The Contactless Chip is and will be at all times the property of BANK OF BARODA and shall be returned to BANK OF BARODA unconditionally and immediately upon BANK OF BARODA's request.
The Contactless Chip is not transferable or assignable by the SMART VITAL PLUS Holder under any circumstance.
You must not permit any other person to use it and should safeguard the Contactless Chip from misuse by retaining the Contactless Chip under your personal control at all times.
The BARCODE issued to the SMART VITAL PLUS Holder to activate the Contactless Chip or any number chosen by the SMART VITAL PLUS Holder as a BARCODE, should be known only to the SMART VITAL PLUS Holder and are for the personal use of the SMART VITAL PLUS Holder and are non – transferable and strictly confidential. A written record of the BARCODE number should not be kept in any form, place or manner that may facilitate its use by a third party. The BARCODE should not be disclosed to any third party, either to staff of the Bank or to merchant establishments, under any circumstance or by any means whether voluntary or otherwise. The Bank shall exercise care while issuing the BARCODES and shall be under obligation not to disclose the SMART VITAL PLUS Holder’s BARCODE, except to the SMART VITAL PLUS Holder.
The SMART VITAL PLUS Holder's account will be debited immediately with the amount of any transfer and other transactions effected by the use of the Contactless Chip. The SMART VITAL PLUS Holder should maintain sufficient funds in the account to meet any such transactions. Otherwise the transaction may be declined due to insufficient funds in the account.
The SMART VITAL PLUS Holder shall not be entitled to transact at any merchant Point of Sale for a value above INR 5000/- in a single contactless transaction and shall be eligible for a maximum up to 5 contactless transactions in a day thus amounting to a value not more than Rs. 25,000/- per day.
The SMART VITAL PLUS Holder will be responsible for transactions effected by use of the Contactless Chip, whether authorized by the SMART VITAL PLUS Holder or not, and shall indemnify BANK OF BARODA against any loss or damage caused by any unauthorized use of the Contactless Chip, including any penal action arising therefrom on account of any violation of RBI guidelines or rules framed under the Foreign Exchange Management Act, 1999 or any other law being in force in India and/or any other country/state/continent/territory wherever located in the world at the time, notwithstanding the termination of this agreement. SMART VITAL PLUS Contactless Chip usage is also prohibited for overseas forex trading through electronic/internet trading portals.
You are requested to note that the SMART VITAL PLUS Contactless Chip is valid for up to 5 years. The chip will get expired after 5 years. You hereby undertake to destroy the Contactless Chip when it expires by cutting it into several pieces. You will have to re-apply to SMART VITAL Program to avail the Contactless Chip after this period.
The SMART VITAL PLUS Holder will inform BANK OF BARODA in writing within 15 days from the statement date of any irregularities or discrepancies that exist in the transaction details at merchant establishment on the statement of account sent by BANK OF BARODA. If no such notice is received during this time, BANK OF BARODA will assume the correctness of both the transaction and the statement of account.
You agree to an ongoing confirmation for use of your name, address, e-mail and mobile number as provided to bank for marketing / merchandising offers between BANK OF BARODA and other companies.
You do understand that GST and other prevailing taxes (if any), are applicable on all fees, interest and other charges as per the Government of India regulations, and agree to pay the same.
One SMART VITAL PLUS Program would be made available to one customer and by that it would be available for one customer ID. Even if you have multiple accounts linked to a single customer ID, you would be entitled for a single Contactless Chip under SMART VITAL PLUS Program.
In case of loss/theft of activated Contactless Chip, it would be your responsibility to immediately report loss of “Contactless Chip to the Bank as per below mentioned terms & specifically request for deactivation of the Contactless Chip.
The onus of initiating complaint to appropriate authorities would be on the customer and Bank would not accept any liability to make good the loss suffered by you on account of using the Contactless Chip.
MERCHANT ESTABLISHMENT USAGE
The Contactless Chip is accepted at all NFC electronic Point of Sale terminals at merchant establishments in India and Overseas which display the Mastercard/Visa/RuPay logo.
The Contactless Chip is Electronic Use only and will be accepted only at merchant establishments that have an NFC/Contactless electronic Point of Sale swipe terminal. Any usage of the Contactless Chip other than electronic use will be deemed unauthorized and the Contactless Chip holder will be solely responsible for such transactions.
Always tap your SMART VITAL PLUS Contactless Chip on the NFC Terminal yourself at the merchant establishment. Never share your Contactless Chip with anyone, including the merchant. While using your Contactless Chip on Point-of-Sale machine, if you suspect something unusual, do not use the machine and report it to BANK OF BARODA immediately.
Bank prohibits withdrawal of cash using Contactless Chip at the Point of Sale, unless specifically permitted by us for specific accounts and amounts.
The Contactless Chip is accepted at all Mastercard/Visa/RuPay merchant outlets having NFC enabled electronic point of sale terminals worldwide. BANK OF BARODA will not accept any responsibility for any dealing the merchant may have with you, including but not limited to the supply of goods and services so availed or offered, should you have any complaint relating to any Mastercard/Visa/RuPay merchant establishment, you should resolve the matter with the merchant establishment and failure to do so will not relieve you from any obligations to BANK OF BARODA.
BANK OF BARODA shall not be responsible for system outages, delays, equipment malfunctions, errors or data loss of any kind, lost or unavailable connections, or failed, incomplete, garbled or deleted transmissions or other technological or technical difficulties or impediments or any “Force majeure event” that may prevent you from making contactless payment at merchant outlet. ”Force majeure event” means any event due to any cause beyond the reasonable control of BANK OF BARODA, including without limitation, unavailability of any communication system, sabotage ,fire, flood, explosion, act of God, civil commotion, strikes or industrial action of any kind, riots, insurrection, war or act of government.
If you decide to cancel your purchase and not accept the goods after the Contactless Chip is swiped, ensure that the merchant cancels the transaction immediately and the slip is handed over to you. Any cancellation thereafter will be routed as a “chargeback” on the merchant through the acquiring bank and will take the time required to complete the process. There can be no guarantee of full/partial return of the amount.
BANK OF BARODA accepts no responsibility for any charge levied by any merchant establishment over and above the value/cost of transactions and debited to your account along with the transaction amount.
A purchase and a subsequent credit for cancellation of goods/services are two separate transactions. The refund will only be credited to your account (less cancellation charges if any, as applicable at the merchant location) after it is received from the merchant. If the credit is not posted to your Contactless Chip account within 30 days from the day of refund, you must notify ‘BANK OF BARODA, along with a copy of the credit note from the merchant.
In case, there are insufficient funds in the said account, BANK OF BARODA will not honour the transactions.
The Contactless Chip holder would be solely liable for all unauthorized acts and transactions.
FEES
Transaction fees wherever applicable, will be debited to the account at the time of posting wherever applicable.
Contactless chip Price, Annual Program/Maintenance Fees and Charges for the GOQii Life services would be charged while customer is purchasing SMART VITAL PLUS Program. The charges for the GOQii Life services would be passed on to GOQii Technologies Pvt. Ltd. Annual Maintenance/Program Fees would be levied by BANK OF BARODA, which would be directly debited from the customer's account annually on an anniversary basis.
The Fees charged would be non - refundable.
FEATURES OF THE SMART VITAL PLUS CONTACTLESS CHIP
The Bank may, from time to time, at its discretion, tie-up with various agencies to offer various features on your SMART VITAL PLUS Contactless Chip. The Bank does not guarantee or warrant the efficacy, efficiency, usefulness of any of the products or services offered by any service providers/merchants/outlets/agencies. Disputes (if any) would have to be taken up with the merchant/agency, etc. directly, without involving the Bank.

DISCLOSURE OF INFORMATION
When requested by BANK OF BARODA, you shall provide any information, records or certificates relating to any matter that BANK OF BARODA deems necessary. You will also authorize BANK OF BARODA to verify the veracity of the information furnished by whatever means or from whichever source deemed necessary. If the data is not provided or if the same is found incorrect, BANK OF BARODA may, at its discretion, refuse renewal of the Contactless Chip or cancel the Contactless Chip forthwith and may initiate appropriate legal action against you.
BANK OF BARODA reserves the right to disclose customer information in any court of competent jurisdiction, quasi - judicial authorities, law enforcement agencies and any other wing of Central Government or State Government.
BANK OF BARODA reserves the right to report to the RBI expenditure undertaken by its Contactless Chip holder in foreign currencies to ensure that the Basic Travel Quota/other permissible entitlements are not exceeded by the Cardholder(s) and that the Foreign Exchange Management Act, 1999 is not contravened.
LOST OR STOLEN CARD
In the event that the Card is lost or stolen, the occurrence must be reported to any office of BANK OF BARODA in India on the emergency Help line Number 1800 5700 or to the Mastercard/Visa/RuPay Global Service Centres Helplines whilst abroad. You shall be required to disclose information regarding your Customer ID, your Account Number, Address, Date of Birth and Mother's maiden name. Under no circumstance should you disclose the PIN number.
The loss or theft of the Contactless Chip should be reported to BANK OF BARODA immediately. Although loss or theft may be reported by means of the 24 - Hour Emergency Helpline Number, you must confirm the same in writing to BANK OF BARODA as soon as possible. A copy of that acknowledged police complaint must accompany the said written confirmation.
Should transactions be received by BANK OF BARODA after the band has been lost or stolen but before receipt of your written confirmation, you shall be liable for all amounts debited to your account(s).
You hereby indemnify BANK OF BARODA fully against any liability (civil or criminal), loss, cost, expenses, or damages that may arise due to loss or misuse of the Contactless Chip in the event that it is lost and not reported to BANK OF BARODA, or lost and misused before BANK OF BARODA is informed.
Provided you have in all respects complied with the terms and conditions, a replacement Card may be issued at the sole discretion of BANK OF BARODA at the applicable fee.
Should you subsequently recover the Contactless Chip, it cannot be used. Please destroy the Contactless Chip by cutting it into several pieces.
GENERAL CONSIDERATIONS
BANK OF BARODA has the right to modify/alter all or any of the terms applicable to the program or discontinue this program at its sole discretion any time as BANK OF BARODA deems fit without assigning any reason or with prior intimation given to the customer.
This program is subject to applicable law and regulations and would be modified/discontinued based on the prevailing law/regulation at any point of time and neither party shall be under any liability or obligation or continue implementation of the said program till such time the terms are modified by the Parties as per the prevailing/amended law at that point of time. In the event, that the program cannot be continued without total compliance of the prevailing law at any point of time, this program shall be deemed to be terminated forthwith from the date when the amended law restricting/prohibiting the program comes into force.
Any dispute relating to the program or the terms and conditions shall be subject to the jurisdiction of the courts in Mumbai only.
BANK OF BARODA is not and shall not be held responsible for any deficiency in the GOQii Fitness Band and any such issues related to the deficiency in the GOQii Fitness Band shall be settled by the customer independently with GOQii without any reference to BANK OF BARODA."
7,"bobWorld Digital Rupee : Introduction

","Introducing the digital Rupee (e₹) : Central Bank Digital Currency (CBDC)

Meet the Rupee’s new digital avatar. Issued by The Reserve Bank of India, the Central Bank Digital Currency (CBDC) or Digital Rupee (or e₹) is a digital variant of physical currency.Digital Rupee (e₹) is a legal tender issued by the Reserve Bank of India in retail segment has components based on blockchain technology. Also called the “digital rupee” or e₹, it will offer features of physical cash like trust, safety and settlement finality with atomicity (i.e. immediate settlement of transactions) in digital mode.
e₹ represents a direct claim on the central bank. It can be used to carry out transactions or store value digitally, similar to the manner in which currency notes can be used in physical form.
Start using e₹ at listed merchants
Digital rupee needs an acceptance infrastructure at merchants and this is being enabled in a phased manner.
To begin with, the following list of merchants near you in Mumbai and Delhi have been enabled. We will be adding more to the list and will notify you when we enable a merchant near your vicinity.
Keep transacting and enjoy the e₹ experience. Be a proud participant in the digital e₹, India's CBDC."
8,"bobWorld Digital Rupee : Benefits
","Load Wallet: Load your e₹ wallet via linked Bank of Baroda Link account or UPI from any Bank.
Pay for Goods and Services: Simply scan the e₹ QR code at listed merchants and make instant payments.
Send Money Instantly to Friends and Family: You can send e₹ to your friends and family, provided they have an e₹ Wallet.
Receive Instant e₹ Payments: Get instant money in your e₹ wallet from friends 24/7 as all transaction are instant.
Digital form of physical cash: Digital Rupee is the digital form of physical cash. All denominations available.
Pay to Merchants: You can use Digital Rupee to pay merchants using it as a payment option
Send or receive money instantly: Send or receive money to/from anyone, using their Mobile No. or QR Code."
9,"bobWorld Digital Rupee : Features
","Sovereign Currency issued by Central Bank
Liability on Central Bank’s Balance Sheet
Accepted as the medium of payment as legal tender
Free convertible against Cash
Lowers cost of issuance of Money and transactions"
